DATE,XTIMVA01GBM667S
1989-03-01,16378194132.2587
1989-04-01,17104851155.917
1989-05-01,16185519020.2363
1989-06-01,15839942117.490599
1989-07-01,17096444433.3482
1989-08-01,16618719880.2265
1989-09-01,16848412255.7245
1989-10-01,16551348510.214102
1989-11-01,16455326517.6804
1989-12-01,16305751266.4621
1990-01-01,18044080234.8868
1990-02-01,17674666315.519802
1990-03-01,17804261508.0723
1990-04-01,18066031075.9159
1990-05-01,17980446844.8829
1990-06-01,18164077052.5149
1990-07-01,19199207937.0767
1990-08-01,19294097877.663097
1990-09-01,19384266223.622902
1990-10-01,19945097508.067
1990-11-01,19762144254.186703
1990-12-01,18858789596.1701
1991-01-01,19414987902.2276
1991-02-01,18376097990.7956
1991-03-01,18210710216.0759
1991-04-01,16555064895.1719
1991-05-01,16701572192.2943
1991-06-01,16558215591.0337
1991-07-01,16256583219.481901
1991-08-01,17464245632.204998
1991-09-01,17246456980.486202
1991-10-01,17142793314.497698
1991-11-01,18043822053.668697
1991-12-01,18221914435.5651
1992-01-01,17425746115.018
1992-02-01,18108680729.745
1992-03-01,17431841975.158398
1992-04-01,18578581979.823097
1992-05-01,19088530575.5899
1992-06-01,18594210382.703
1992-07-01,19777507784.878002
1992-08-01,20635690498.4042
1992-09-01,18842726908.906498
1992-10-01,17661162399.2869
1992-11-01,17170865053.5762
1992-12-01,17371885987.63
1993-01-01,16255387051.209698
1993-02-01,16454717883.7607
1993-03-01,16453344715.8308
1993-04-01,17421974291.1259
1993-05-01,17656907806.5713
1993-06-01,16933999352.347801
1993-07-01,17322772101.5031
1993-08-01,16547044930.794102
1993-09-01,17709803759.937
1993-10-01,17531610010.439598
1993-11-01,16852916564.081
1993-12-01,17187482684.2545
1994-01-01,18259283005.1507
1994-02-01,17744485714.866802
1994-03-01,18530944089.6433
1994-04-01,17781289303.9243
1994-05-01,18747448842.6723
1994-06-01,19159894045.9658
1994-07-01,19346979816.6889
1994-08-01,18861209038.4004
1994-09-01,19374237927.184902
1994-10-01,20602054193.8425
1994-11-01,20506204612.0364
1994-12-01,21346872587.186802
1995-01-01,20906661747.165
1995-02-01,20872934216.0859
1995-03-01,21002335717.615
1995-04-01,22802633762.424103
1995-05-01,22171446467.060898
1995-06-01,22631234868.2583
1995-07-01,22998933279.6804
1995-08-01,22326923761.2146
1995-09-01,23434661281.8251
1995-10-01,23436406304.687702
1995-11-01,22808799333.6176
1995-12-01,22810813488.276
1996-01-01,23052579673.091
1996-02-01,23380582723.1071
1996-03-01,23445025323.4392
1996-04-01,23842991988.6342
1996-05-01,23649419990.6573
1996-06-01,24516087283.103397
1996-07-01,23985556399.314598
1996-08-01,23453679572.2407
1996-09-01,24436999451.423
1996-10-01,24390474658.9824
1996-11-01,25589340624.3609
1996-12-01,25565924504.688
1997-01-01,25455049375.9548
1997-02-01,25265002201.3983
1997-03-01,25261188868.2159
1997-04-01,25763669515.5939
1997-05-01,25481877723.0488
1997-06-01,26380751745.8528
1997-07-01,26482528214.8748
1997-08-01,24698275332.1724
1997-09-01,25050852436.9431
1997-10-01,25793637633.3634
1997-11-01,27087484838.8718
1997-12-01,26908728325.7197
1998-01-01,24793238007.5207
1998-02-01,26481503312.719097
1998-03-01,26340108967.4921
1998-04-01,25640644653.7969
1998-05-01,26252639745.073
1998-06-01,26066064695.045998
1998-07-01,25547387597.4563
1998-08-01,25452257625.2368
1998-09-01,26959894749.3951
1998-10-01,26347442942.0284
1998-11-01,26171793119.7577
1998-12-01,26119898948.6066
1999-01-01,26309700666.2756
1999-02-01,25932157363.7568
1999-03-01,25853311757.8519
1999-04-01,24854382474.9134
1999-05-01,25152162399.2003
1999-06-01,25446713651.5471
1999-07-01,26010910122.9875
1999-08-01,27570178943.627903
1999-09-01,27175612970.9504
1999-10-01,28135890188.2373
1999-11-01,27386325801.2177
1999-12-01,27334240124.9803
2000-01-01,29135718046.7109
2000-02-01,27643658396.398903
2000-03-01,27278872382.4997
2000-04-01,29079034599.6818
2000-05-01,26540736108.3076
2000-06-01,27360409388.832798
2000-07-01,28975414250.2991
2000-08-01,27758526703.5288
2000-09-01,27268757854.3732
2000-10-01,27517090095.0055
2000-11-01,28020298956.149597
2000-12-01,29845612586.6842
2001-01-01,29403527470.2346
2001-02-01,29311502315.883
2001-03-01,28197110260.13
2001-04-01,28203409028.319603
2001-05-01,27175096829.759598
2001-06-01,27956543099.8767
2001-07-01,26485877354.6422
2001-08-01,27511869046.804703
2001-09-01,27194796796.7196
2001-10-01,26836265886.3261
2001-11-01,26242143864.525803
2001-12-01,26639254012.850403
2002-01-01,25893373513.189102
2002-02-01,26954615332.6141
2002-03-01,27483984006.571598
2002-04-01,27093009917.052498
2002-05-01,27812573770.4986
2002-06-01,28347513243.7468
2002-07-01,29758961113.4859
2002-08-01,29006628366.4316
2002-09-01,29484480603.753098
2002-10-01,29438929706.4066
2002-11-01,29996620625.9613
2002-12-01,29280451317.0267
2003-01-01,30678382060.661503
